ObjectNumber,TextType,Description
1906.9.11,Gallery Label,"Jack Porter, a veteran of the War of 1812 who made a handsome living from Pennsylvania's coal mines, is surrounded by handmade objects, including a corncob pipe, a roughly-hewn wooden bench, and his wife's knitting. As a self-sufficient landholder and businessman, ""Squire Jack"" embodied an independent and enduring spirit that, by the 1850s, had become an American ideal, celebrated by painters and writers alike. The squire takes his ease on the porch of a substantial home, dressed in a flowered vest, black cravat, and polished boots that signal the rewards of his hard work.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
1911.4.1,Exhibition Label,"The ship and sled team in this image belonged to Frederic Church's friend, polar explorer Dr. Isaac Hayes. Hayes had led an Arctic expedition in 1860, and gave his sketches from the trip to the artist as inspiration for this painting. Hayes returned from his voyage to find the country in the thick of the Civil War, and in a rousing speech vowed that ""God willing, I trust yet to carry the flag of the great Republic, with not a single star erased from its glorious Union, to the extreme northern limits of the earth."" Viewers understood Church's painting of the Aurora Borealis (also known as the northern lights) as a portent of disaster, a divine omen relating to the conflict.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
1906.9.11,Gallery Label,"Jack Porter, a veteran of the War of 1812 who made a handsome living from Pennsylvania's coal mines, is surrounded by handmade objects, including a corncob pipe, a roughly-hewn wooden bench, and his wife's knitting. As a self-sufficient landholder and businessman, ""Squire Jack"" embodied an independent and enduring spirit that, by the 1850s, had become an American ideal, celebrated by painters and writers alike. The squire takes his ease on the porch of a substantial home, dressed in a flowered vest, black cravat, and polished boots that signal the rewards of his hard work.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
1882.1.3,Luce Center Label,"<I>–Is It So Nominated in the Bond?”</I> is from Shakespeareês <I>Merchant of Venice,</I> and was one of John Rogersês most popular works. In the scene, Antonio has been called to trial against the moneylender Shylock, who is demanding a pound of flesh for nonpayment of a loan. Antonioês friend Portia is dressed as a judge trying to bargain with Shylock. Upon the suggestion that a surgeon be present when the flesh is extracted, Shylock challenges, –Is it so nominated in the bond?” to which Portia replies, –It is not so expressêd; but what of that? •Twere good you do so much for charity.”"
1906.9.5,Luce Object Quote,"""He was, on the whole, a distinguished and handsome looking man, and his size and fine proportions gave a dignity and commanding air to his personal presence. His manner and bearing had much of the old-fashioned courtly school about it."" James Buchanan Henry, quoted in <i>The Works of James Buchanan</i>, ed. John Bassett Moore, 1911, p. 330"
2000.35.1,New Acquisition Label,"In 2008, the Smithsonian American Art Museum acquired <i>Running Fence, Sonoma and Marin Counties, California, 1972&ndash;76, A Documentation Exhibition</i>, the definitive record of the major early work by world-renowned artists <a href=""/collections/search/artist/?ID=27236"">Christo</a> and <a href=""/collections/search/artist/?ID=27237"">Jeanne-Claude</a>.</p>  <p>The most lyrical and spectacular of Christo and Jeanne-Claude's epic projects was the installation of the <i>Running Fence</i></a>, a white-fabric and steel-pole fence, twenty-four- and-a-half miles long and eighteen feet high, across the properties of rural landowners in Sonoma and Marin counties north of San Francisco. The <i>Running Fence</i> existed for only two weeks; it survives today as a memory and through the artworks and documentation by the artists. </p> <p>The collective archive of artworks and research material acquired by SAAM includes more than 350 individual items. With this acquisition, the museum has obtained nearly fifty original preparatory works by Christo, including eleven masterful large-scale drawings&mdash;each eight feet wide&mdash;and thirty-five additional drawings and collages he made in preparation for the final installation. The archive also includes a sixty-eight-foot-long scale model; more than 240 documentary photographs by Wolfgang Volz in color and black-and-white; a film by the critically acclaimed filmmakers David Maysles, Charlotte Zwerin, and Albert Maysles; documents; 324 color slides; original components, including one of the 2,050 nylon fabric panels; a twenty-one-foot steel pole, three and one-half  inches in diameter, with steel cables and guy wires; one of the 13,000 specially designed anchors; and a few of the 350,000 hanging hooks.</p> <p><i>Running Fence, Sonoma and Marin Counties, California, 1972&ndash;76, A Documentation Exhibition</i> is the first major Christo and Jeanne-Claude complete project archive to be acquired by a museum.</p> <p>The <i>Running Fence</i> is considered one of the most important early public art projects, and when it was installed in 1976, it was the most ambitious work undertaken by Christo and Jeanne-Claude since their 1964 arrival in the United States. When it was unveiled during America's bicentennial, it captured the public's imagination. The sheer beauty of the light and weather playing across the fabric of the fence stood in sharp contrast to the underlying issue of division and limitations that fences generally convey. For Christo and Jeanne-Claude, the fence embodied larger issues of human freedom and constraint. The planning, design, installation, and critical response to the <i>Running Fence</i> set the tone for each of their subsequent major public projects. None would have been imaginable without it.  </p> <p>From 1972 when the <i>Running Fence</i> was first conceived until 1976 when it was completed, Christo and Jeanne-Claude faced seemingly insurmountable challenges. In addition to negotiating land rights with fifty-nine ranchers, Christo and Jeanne-Claude grappled with bureaucratic hurdles at a time when the artists had no fame to pave the way. Christo and Jeanne-Claude convinced ordinary Americans of the transformative power of art.<p>New Acquisitions</p>"
2010.55,Research Notes,2010.55.pdf
2012.56,Video Clip,2012.56.mov
1895.10.3                                 ,Luce Center Label,"<p>Edward Kemeys modeled many sculptures of the black and grizzly bears that he saw on his travels in the American West. He portrayed each animalês formidable power while also capturing a lighter, more playful side to its character. In this way, Kemeys created a fiction in which wild animals were transformed into approachable, friendly creatures.</p>"
1895.10.6                                 ,Luce Center Label,"<p>Edward Kemeys was inspired by natureês violence, and his sculptures often depicted the struggle to survive, as in <i>Texan Bull Pulled Down by Jaguars.</i> In <i>Panther and Deer</i> the deerês wild eyes stare desperately as the panther bites into its neck. Both pieces vividly portray predators and their victims in the natural world and express the artistês passion for hunting and adventure.</p>"
