"ObjectNumber","TextType","Description"
"1882.1.3                                  ","Luce Center Label","<I>“Is It So Nominated in the Bond?”</I> is from Shakespeare’s <I>Merchant of Venice,</I> and was one of John Rogers’s most popular works. In the scene, Antonio has been called to trial against the moneylender Shylock, who is demanding a pound of flesh for nonpayment of a loan. Antonio’s friend Portia is dressed as a judge trying to bargain with Shylock. Upon the suggestion that a surgeon be present when the flesh is extracted, Shylock challenges, “Is it so nominated in the bond?” to which Portia replies, “It is not so express’d; but what of that? ‘Twere good you do so much for charity.”"
"1882.1.4                                  ","Luce Center Label","<p><i>“Ha’ I Like Not That”</i> refers to a scene from Shakespeare’s <i>Othello.</i> Othello and Iago have arrived to greet Othello’s wife, Desdemona, who is speaking with Cassio. Upon seeing Cassio, the traitorous Iago mutters, “Ha! I like not that,” and hints to Othello that Desdemona and Cassio may be having an affair. In this piece the actor Edwin Booth posed for Iago, and Tommaso Salvini may have posed for Othello.</p>"
"1882.1.6                                  ","Luce Center Label","<I>Wounded to the Rear, One More Shot</I> was the most successful of John Rogers’s Civil War groups, which continued to sell long after the war ended. General Joseph R. Hawley, who received a plaster copy in 1868, commented that “nothing relating to the war in painting or sculpture surpasses One Shot More.” It depicts two injured Union soldiers, one of whom is preparing to fire a final shot at the enemy."
"1882.1.7                                  ","Luce Center Label","<I>The Favored Scholar</I> was one of John Rogers’s more sentimental groups, showing a girl receiving special attention from a young male teacher. It proved a very personal subject for one schoolteacher, Mr. B. W. Woodward from Pennsylvania, who gave this sculpture pride of place after he married his own “favored scholar.”"
"1882.1.8                                  ","Luce Center Label","<p>John Rogers created several groups that depicted people playing checkers. The first of these, <i>Checker Players,</i> was modeled in 1859 and received so much publicity that Rogers decided to devote all of his time to sculpting. <i>Checkers up at the Farm</i> was completed some fifteen years later and was Rogers’s second most popular piece, with a total sale of five thousand copies. The artist’s wife, Hattie, was the model for the farmer’s wife who watches the final moments of the game.</p>"
"1882.1.9                                  ","Luce Center Label","<p>John Rogers sold more than eight thousand copies of the group <i>Coming to the Parson,</i> making it by far his most successful piece. This group was particularly favored as a wedding present. Rogers included a newspaper titled <i>The Union,</i> which was inspired by a newspaper he read while working as a mechanic in Manchester, New Hampshire.</p>"
"1895.10.1                                 ","Luce Center Label","<p>Edward Kemeys’ extensive study of animals in the wild gave him a feeling for their characters. His sculptures convey a wildness and individuality that were lost to animals in captivity. Although the beasts in many of his sculptures appear at rest, we often get the sense that more is happening in the wider environment.</p>"
"1895.10.2                                 ","Luce Center Label","<p>Edward Kemeys modeled many sculptures of the black and grizzly bears that he saw on his travels in the American West. He portrayed each animal’s formidable power while also capturing a lighter, more playful side to its character. In this way, Kemeys created a fiction in which wild animals were transformed into approachable, friendly creatures.</p>"
"1895.10.3                                 ","Luce Center Label","<p>Edward Kemeys modeled many sculptures of the black and grizzly bears that he saw on his travels in the American West. He portrayed each animal’s formidable power while also capturing a lighter, more playful side to its character. In this way, Kemeys created a fiction in which wild animals were transformed into approachable, friendly creatures.</p>"
"1895.10.6                                 ","Luce Center Label","<p>Edward Kemeys was inspired by nature’s violence, and his sculptures often depicted the struggle to survive, as in <i>Texan Bull Pulled Down by Jaguars.</i> In <i>Panther and Deer</i> the deer’s wild eyes stare desperately as the panther bites into its neck. Both pieces vividly portray predators and their victims in the natural world and express the artist’s passion for hunting and adventure.</p>"
"1906.9.11                                 ","Gallery Label","Jack Porter, a veteran of the War of 1812 who made a handsome living from Pennsylvania's coal mines, is surrounded by handmade objects, including a corncob pipe, a roughly-hewn wooden bench, and his wife's knitting. As a self-sufficient landholder and businessman, "Squire Jack" embodied an independent and enduring spirit that, by the 1850s, had become an American ideal, celebrated by painters and writers alike. The squire takes his ease on the porch of a substantial home, dressed in a flowered vest, black cravat, and polished boots that signal the rewards of his hard work.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
"1906.9.15                                 ","Luce Center Label","<p>Henry Elliott Johnston (1831-1884) was a Baltimore railroad executive and banker. He and his wife, Harriet, traveled frequently to Europe to build their art collection, and this bust was created on one of their trips to Rome. Like other wealthy Americans of the Gilded Age, the Johnstons hoped that America would one day compete with European art institutions. They anticipated that their private collection would contribute to that process by becoming part of “a national gallery of art.”</p>"
"1906.9.16                                 ","Luce Center Label","<p>In 1872, William Henry Rinehart visited Baltimore, where the Johnston family commissioned him to create four portraits, including marble busts of Henry Elliott Johnston and his wife, Harriet Lane Johnston, and full-length sculptures of their two children posing as Cupid. The statues of Henry Jr., age two, and James, age five, are identical except for the faces, and Rinehart only needed to make clay models of the boys’ heads before returning to his studio in Rome. This allowed him more time to sculpt the boys’ bodies from live models in his studio. Here, the young Henry appears unaware of his surroundings as he concentrates on stringing his bow. This creates a natural, unself-conscious sculpture that contrasts with the sentimental images of Cupid popular in Victorian society.</p>"
"1906.9.2                                  ","Luce Center Label","John Henry Brown chose to paint this miniature from a daguerreotype he made of United States president James Buchanan (1791-1868), and took great satisfaction in the likeness. James Buchanan Henry, the president’s nephew and ward, later wrote a biography of his uncle, commenting that “The best likeness of him is a miniature portrait on ivory, by Brown of Philadelphia . . . Buchanan was tall---over six feet, broad shouldered, and had a portly and dignified bearing . . . his features [were] strong and well marked, [and] his eyes were blue, intelligent and kindly, with the peculiarity that one was far and the other near sighted, which resulted in a slight habitual inclination of the head to one side.”"
"1906.9.4                                  ","Luce Center Label","<p>Henry Dexter’s project to create a portrait gallery of the president and all the governors was long and arduous. He undertook extensive travel during a time of war and his working method involved creating multiple copies. The first step was modeling the portrait from life and casting it in plaster. He would later make a copy in marble for public display.</p>"
"1906.9.5                                  ","Luce Center Label","<p>James Buchanan served many roles before he was elected the fifteenth president of the United States. This portrait was painted after his term as minister to Russia, but he also acted as a representative, senator, and secretary of state. Jacob Eichholtz's painting accurately depicts Buchanan, who often wore black suits and large white cravats. The future president appears composed and confident, but his slightly uneven eyes give him an intimidating stare. The portrait was owned by Buchanan and then given to his niece, Harriet Lane Johnston, who served as his official hostess at the White House during his administration.</p>"
"1906.9.5                                  ","Luce Object Quote",""He was, on the whole, a distinguished and handsome looking man, and his size and fine proportions gave a dignity and commanding air to his personal presence. His manner and bearing had much of the old-fashioned courtly school about it." James Buchanan Henry, quoted in <i>The Works of James Buchanan</i>, ed. John Bassett Moore, 1911, p. 330"
"1909.10.1                                 ","Luce Center Label","<p>In 1908, Leon Dabo's <i>Evening on the Hudson</i> won a prize from the National Arts Club. (Pancza, "Leon Scott Dabo," in <i>Artists of Michigan from the Nineteenth Century</i>, 1987). He used little detail, preferring instead to paint with subtle washes of color. In this piece the soft tones of green, purple, and gray evoke the fading light just after sunset, and lights across the water glimmer from a distant town.</p>"
"1909.7.21                                 ","Luce Center Label","<p>Thomas Wilmer Dewing’s paintings of elegant women evoked an exclusive world of beauty and refined taste. From 1885 until 1905, Dewing was a key figure in the artist colony at Cornish, New Hampshire, which included Augustus Saint-Gaudens and Abbott Thayer. They agreed that art and beauty offered a “higher life” for an age in which Darwin’s theories challenged Christian beliefs and urban industrialization disrupted life’s natural rhythms. <i>Summer</i> shows women in evening gowns theatrically posed in nature and conveys the “Cornishite’s” attitude that life should be a chain of beautiful moments. Every summer, Dewing orchestrated twilight picnics and participated in theatrical performances with fellow artists and writers in the woods of Cornish. (Pyne, <i>Art and the Higher Life: Painting and Evolutionary Thought in Nineteenth-century America</i>, 1996) </p>"
"1909.7.21                                 ","Luce Object Quote","<p>“. . . like Dewing’s art, [his models] help to improve our taste and manners, render our costumes and surroundings more picturesque, and our life softer and more agreeable, in one word more beautiful.” Sadakichi Hartmann, “Thomas Wilmer Dewing,” <i>Art Critic</i> I, January 1894</p>"
"1909.7.27                                 ","Luce Center Label","<p>Childe Hassam lived in New York, but he also spent a good deal of time away from the chaos of urban life, painting landscapes and quaint villages in New England. (Pyne, <i>Art and the Higher Life</i>, 1999) In this painting of New Jersey's Navesink Highlands, he used quick brushstrokes to capture the effect of a cool spring breeze in the flickering leaves and ripples on the water. After he had chosen a frame for the piece he wrote to his patron William T. Evans that "I am glad to say it looks as fine as anything anywhere in the world."</p>"
"1909.7.28                                 ","Gallery Label","<i>A Visit from the Old Mistress</i> captures a tentative encounter in the postwar South. The freed slaves are no longer obliged to greet their former mistress with welcoming gestures, and one remains seated as she would not have been allowed to do before the war. Winslow Homer composed the work from sketches he had made while traveling through Virginia; it conveys a silent tension between two communities seeking to understand their future. The formal equivalence between the standing figures suggests the balance that the nation hoped to find in the difficult years of Reconstruction.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
"1909.7.3                                  ","Luce Center Label","<p>Ralph Albert Blakelock is most famous for his moonlit landscapes. In <i>Moonrise</i>, we can just make out the glowing orb behind thickly painted auburn trees. The mysterious yellow-green light from the sky gives a hint of shadowy earth in the foreground and a tree trunk to the left, intensifying the sense of being in a place within the artist's mind.</p>"
"1909.7.30                                 ","Luce Center Label","<p>William Henry Howe made a name for himself in France and the United States as a painter of animals. His farm scenes provided patrons with an antidote to the unnerving changes in American society brought about by industrialization. The prize bull and placid cow in these paintings evoke the patriarchal and matriarchal roles of a nineteenth-century household, and hark back to an ideal of agrarian America that seemed distant from the urban bustle of the Gilded Age.</p>"
"1909.7.31                                 ","Research Notes","1909.7.31.pdf"
"1909.7.32                                 ","Luce Center Label","<p>George Inness painted peaceful views of the landscape in soft, glowing colors and often included people, animals, and buildings. Sentimental scenes like this of people enjoying nature were popular during the nineteenth century, as towns and industry gradually took over the landscape. In this image, Inness captured the moment just before sunset when everything is bathed in golden light. He painted the figures in the same rich tones as the landscape, underscoring his belief in the harmony between man, nature, and God.</p>"
"1909.7.32                                 ","Luce Object Quote",""The civilized landscape . . . can [communicate human sentiment]; and therefore I love it more and think it more worthy of reproduction than that which is savage and untamed." George Inness, "A Painter on Painting," <i>Harper's New Monthly Magazine</i>, February 1878, reprinted in Quick, <i>George Inness</i>, 1985"
"1909.7.33                                 ","Luce Object Quote",""Every thing in nature has something to say to us." George Inness, "A Painter on Painting," <i>Harper's New Monthly Magazine</i>, February 1878, reprinted in Quick, <i>George Inness</i>, 1985"
"1909.7.33                                 ","Luce Center Label","<p>George Inness was influenced by nineteenth-century French landscape painters, who emphasized quiet, intimate views of nature such as forest interiors or meadows. The clearing through the tall trees in this image invites us to join the group of figures, who are enjoying the shade of the forest. The rich colors and soft shapes evoke the muffled sounds created by a thick carpet of pine needles.</p>"
"1909.7.36                                 ","Gallery Label","William Kendall had three daughters whom he loved to paint in tender moments with their mother, Margaret. Here, the closed curtain and open book suggest a bedtime story, but there is a tantalizing hint of another meaning in this image. Margaret Kendall turns her face away from her husband to focus her affection on her daughter, who looks out at us with a wide-eyed, almost haunted expression. The title suggests a quiet moment before something happens, and it is possible that this image foreshadowed the disintegration of Kendall’s family. When <i>An Interlude</i> was painted, the artist had begun a relationship with the adolescent niece of artist Albert Herter. Kendall eventually divorced Margaret, resigned his teaching position at Yale, and retired to Hot Springs, Virginia, with Christine Herter.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
"1909.7.48                                 ","Luce Center Label","<p>In <i>Great Silas at Night,</i> Robert Minor created a small yet dramatic nighttime image of waves crashing against the rocks. Minor was living in Greenwich Village in 1890, and this may be a view of the New York or Connecticut coastline. A pinpoint of light from a lighthouse is just visible in the distance, emphasizing the scale of the waves and the potential danger that faced ships sailing off the coast.</p>"
