ConstituentID,TextType,BioDsp,PrimaryBio
2,Luce Artist Biography,"<p>George Aarons came to the United States from Russia when he was ten years old. He studied art at the Boston Museum School, then moved to New York to study with Paris-trained artists at the Beaux-Arts Institute of Design. After graduating, he established studios in Brookline and Gloucester, Massachusetts, and began work as a sculptor. He cast large idealized figures in bronze and marble and also experimented with direct carving in wood and stone. Aarons produced several monumental pieces for the Works Progress Administration, including a ten-foot relief for the South Boston Housing Project, and the fa?ade of the Baltimore Hebrew Congregational Building.</p>",NULL
5,Artist Biography,"<P>""Paris was where the 20th century was."" Should the remark so often quoted and attributed to Gertrude Stein prove apocryphal, it would make no difference. At the turn of the century and again after World War I, it seemed that most of the artistic and literary ferment of the modern world was focused in that city. To Paris in the 1920s came Berenice Abbott, a young woman fresh from Ohio State University's School of Journalism and from New York's Greenwich Village. Yet, despite this experience, she was still looking for her career, for her real profession and life's work. Born in Ohio in 1898, she had spent unhappy early years as the child of divorced parents and, after attending Ohio State University, had left the Midwest (for good) in 1918 for New York city and the Village. Ostensibly she was seeking a career in journalism and had moved to New York intending to pursue that subject at Columbia University. In fact the move to New York only presaged another in 1921, this time to Paris to study sculpture. ""You're finding yourself as you go along when you're young,""she has remarked. ""Youth often enters a field that isn't always the right choice."" (1)</P>  <P>Her discovery of the right field came in 1923 and seems to have been entirely serendipitous. The famous photographer Man Ray needed an assistant, but insisted on one without previous knowledge of the craft. Young expatriates must eat, and Abbott applied. Her lack of knowledge qualified her for the job. Soon she was printing for Man Ray and discovering that she immensely enjoyed doing darkroom work. Later, at his suggestion, Abbott began to take her own first photographs. Both were surprised to discover how good she was. By 1925, with the aid of loans from Peggy Guggenheim and from Robert McAlmon (one of the ""charmed circle"" surrounding Gertrude Stein), she had set up her own studio on the Left Bank. There she pursued portrait photography which absorbed her at that time.</P>  <P>A selection of images of the stream of notables who found their way to Berenice Abbott's studio are presented in this exhibition. Figures from the world of fashion and the haut monde of Parisian society mix freely with some of the era's legendary literary figures and artists, including the dadaists and surrealists out <I>pour 谷pater le bourgeois.</I> Abbott presents them all with what one can only term an imaginative realism.</P>  <P>Each subject was extremely important to her. ""I wasn't trying to make a still life of them,"" she has said, ""but a person. Its a kind of exchange between people〞it has to be〞and I enjoyed it."" (2) Formal posing was totally foreign to her approach. Her subjects tend to move casually; frequently they slouch. Occasionally perhaps captured in conversation or interaction with her, they strike self-assertive or deliberately playful stances. Always she is a master at catching the telling gesture (the languid, listless hand of James Joyce) or the detail of dress or accessory (the elegant pince-nez of Mrs. Theodore van Rysselberghe and the large ring on her forefinger) that reveals character as strongly as face or eyes. Less frequently Abbott experimented with arbitrary cropping to create a mood, one to us redolent of the art deco aesthetic first formally presented to Paris and the world in 1925 at L'Exposition internationale des arts d谷coratifs et industriels modernes. How could she not be aware of and sensitive to the international movements in art that crowded the Paris horizon? Yet, through it all, we sense a serious intelligence and a sturdy individuality developing and gathering force.</P>  <P>The years in Paris also brought an obsession into Abbott's life〞the work of the French photographer Eugene Atget (1857每1927). Now some fifty years after his death honored by exhibitions at the Museum of Modern Art in New York, he was largely unknown or rejected in Paris during the 1920s. (Even as late as 1967 or 1968, Abbott says, the French authorities rejected the Atget collection when she offered it to them through the French Minister of Culture, Andr谷 Malraux.) Abbott had first become aware of the work of this unrecognized master of photography through Man Ray. The impact of Atget's work on her was immediate and she periodically bought his photographs, as many as she could afford, for a few francs each. After Atget's death she purchased his collection of some 10,000 images〞both prints and negatives〞from his closest friend, Andr谷 Calmette. A labor of love followed as Abbott saw that each glass plate negative was cleaned and stored in a numbered glassine envelope. Then she began her long and until recently quite fruitless campaign to have Atget's work recognized. The resistance she met reveals the attitudes of the art world of the day: a preoccupation with abstraction, an abhorrence and denigration of realism as trivial and trite, and grave doubts as to the legitimacy of photography as an art. (The September 1951 issue of <I>Art News,</I> for example introduced an article by Berenice Abbott with the rhetorical questions, ""Does photography belong in museums? In fact, is it an art at all?"") (3) Abbott's fight for Atget's recognition demanded her time, attention, persistence, and self-sacrifice, often at the expense of her own career.</P>  <P>Despite her success in Paris, by 1929 Abbott was ready to return home. On a visit to America she became excited by New York city. She has said that she became interested in the States from a distance, that some persons abroad become fascinated with their own country. She had left her homeland out of frustration with a country that offered very little encouragement for the arts. Abbott feels that her relocation to Europe was an act of justified rebellion. Yet, she has said that ""after years in Paris I found myself drawn by a certain nostalgia and an objective interest [in the United States] that crept up over the years."" (4)</P>  <P>Fascinated by New York City and the changes that had occurred in it during her absence, she began the monumental work of documenting its visual presence〞its sweeping technological innovations, its bridges, its canyonlike streets overtowered by skyscrapers (many of the most famous under construction at that time), its nineteenth-century brownstones and even earlier vestiges of colonial architecture, its littered streets, its hum and vitality, its sparkling transformation at night into a fairyland of light and glitter. The rest is history. The right artist and the right project〞one demanding perseverance, vitality, and great individuality of imagination〞had met. Her efforts were finally rewarded in 1935 when the New Deal's Federal Art Project of the Works Progress Administration agreed to sponsor her documentation of New York under the project title ""Changing New York."" The book of the same title, published in 1939, was a milestone in the history of photography.</P>  <P>Since 1939 Abbott has engaged in many projects, turning her attention to the photography of scientific phenomena and working for the Physical Science Study Committee at the Massachusetts Institute of Technology. She now lives in rural Maine, where she moved in 1962. She continues to be outspoken in her comments concerning photography which she believes is the most important art form of our time. ""It took the modern period to develop an art based on scientific sources, on chemistry and optics. The vision of the twentieth century has been created by photography."" (5)</P>  <P>As for realism and the mechanistic aspect of photography, her own summing up of her experience with a camera presents a powerful, lucid argument for the creativity of the photographer and also provides insights into our responses to her photographs:</P>  <BLOCKQUOTE>""By the choice of subject and the special treatment given a subject, [the photograph] is as personal as writing or music; while by the fact that it works with an instrument to record a segment of reality given and already made ＃ it is impersonal, to the highest degree."" (6) </BLOCKQUOTE>  <P>Abbott also believes that ""while significant reality is the subject matter of the photographer, it follows that ＃ the choice of subject is inescapably a subjective one. One cannot help equating the objective world with oneself."" (7)</P>  <P>We, too, read ourselves into her photographs, experiencing the New York of the 1980s more fully and acutely by savoring her images of the 1930s. Her photographs of both the twenties and the thirties provide us with more than a souvenir, more than a record or document. By an act of creative imagination Berenice Abbott has revealed to us something of the indestructible essence of a place or a time that resists oblivion and change. For many of us, this creative act seems both life-enhancing and revitalizing.</P><BR><BR>  <P>1. Conversation with Berenice Abbott, February 25, 1982. During the conversation the artist discussed her remarks published in Alice C. Steinbach, ""Berenice Abbott's Point of View,"" an interview with Berenice Abbott, <I>Art in America</I> (November每December 1970): 77每81.</P>  <P>2. Conversation with Berenice Abbott, February 25, 1982. During the conversation the artist discussed her remarks published in Alice C. Steinbach, ""Berenice Abbott's Point of View,"" an interview with Berenice Abbott, <I>Art in America</I> (November每December 1970): 79.</P>  <P>3. Berenice Abbott, ""What the Camera and I See,"" <I>Art News</I> (September 1951): 36.</P>  <P>4. Conversation with Berenice Abbott, February 25,1982. See also <I>Art in America</I> (November每December 1970): 77每81</P>  <P>5. Avis Berman, ""The Unflinching Eye of Berenice Abbott,"" <I>Art News</I> (January 1981): 87.</P>  <P>6. <I>Art News</I> (September 1951): 30每37.</P>  <P>7. Conversation with Berenice Abbott, February 25, 1982. The same idea was also expressed in <I>Art News</I> (September 1951): 36每37.</P><BR><BR>  <P> Barbara Shissler Nosanow <I>Berenice Abbott: The 20s and the 30s</I> (Washington, D.C.: Smithsonian Institution Press for the National Museum of American Art, 1982)</P>",NULL
10,Luce Artist Biography,"<p>Darryl Abraham and his art are well known in the community of <st1:place><st1:City>Naples</st1:City>, <st1:State>New York</st1:State></st1:place>. His sculptures and drawings of farmhouses, stores, boats, and landscapes celebrate the history of the <st1:place>Finger Lakes</st1:place> region, and his artwork can be found on store signs and murals throughout the town. Abraham also teaches at <st1:place><st1:PlaceName>Cazenovia</st1:PlaceName> <st1:PlaceType>College</st1:PlaceType></st1:place>, and operates a landscaping business,?for which he includes a personalized drawing with every bill.</p>",NULL
20,Artist Biography,"<p>One of the most influential photographers of the twentieth century, Adams spent a significant part of his adult life in Yosemite National Park.  Born in San Francisco and trained as a musician, by 1920 he had begun making trips into the High Sierra; in 1924 he made his first important photographs there and began to publish both images and writings.  Adams's work in both media contributed greatly to the American conservationist movement.</p><p>By the mid-1930s, Adams had abandoned an earlier Pictorialist style in favor of the clean, sharp focus vision of Group f/64.  Along with Edward Weston, Imogen Cunningham, and Willard Van Dyke, Adams was a founding member of this group, dedicated to ""a simple and direct presentation [of] purely photographic means."" Adams's work, in particular, is characterized by meticulous technique and dramatic celebration of the natural world.</p><BR><BR><p>Merry A. Foresta <i>American Photographs: The First Century</i> (Washington, D.C.: National Museum of American Art with the Smithsonian Institution Press, 1996)</p>",NULL
23,Luce Artist Biography,"<p>Despite his working-class background, Herbert Adams insisted on becoming an artist. His father discouraged him on practical grounds and was successful in getting Adams to attend technical school, at least temporarily. At eighteen, the artist worked as a taxidermist, which only increased his desire to study art---especially sculpture. After two years of hard work his patience paid off. He was allowed to enroll at the Massachusetts Normal Art School in Boston. Adams excelled in sculpture and continued his studies, first at the Massachusetts Institute of Technology and then in Italy, where he was particularly influenced by the work of the Renaissance period. This influence is visible in many of his portrait busts, which are colored in warm tones instead of being rendered in solid white marble. Adams combined different types of marble with wood and gold to color his marble busts, and applied stains or paints to tint the surface of his plaster works.</p>",NULL
24,Artist Biography,"<p>Painter, printmaker.  Adams first studied at the Art Institute of Chicago, then at the Art Students League in New York with Kenneth Hayes Miller and George Bridgman. He attended summer classes in Woodstock, New York, taught by Andrew Dasburg, who encouraged him to move to New Mexico in 1924, where Adams lived until his death. His compassionate regard for Hispanics and a renewed interest in landscape largely determined the subjects of his paintings. Adams was the last artist to join the Taos Society of Artists before it disbanded in 1927. His blend of conservative and modernist styles made him a pivotal figure between the founders of the society and the second generation of artists, many of whom were sympathetic to new trends developing in New York and Europe.</p><p>Charles Eldredge, Julie Schimmel, and William H. Truettner <i>Art in New Mexico, 1900&#8211;1945: Paths to Taos and Santa Fe</i> (Washington, DC: National Museum of American Art, Smithsonian Institution, 1986)</p>",NULL
24,Luce Artist Quote,"※I am conscious of change in the contemporary landscape from that of the twenties and thirties and am only beginning to adjust and accept it.§ The artist, quoted in Coke,<EM> Kenneth M. Adams: A Retrospective Exhibition</EM>,1964",NULL
24,Luce Artist Biography,"Kenneth Adams grew up the youngest of five children and spent his time copying pictures from books in the public library. After art school and military duty, he moved to Taos, New Mexico, where he opened a studio and joined the Taos Society of Artists, a group of painters from Chicago and New York in search of an ※authentic§ America. Adams became an Associate of the National Academy of Design by the time he was twenty eight and worked for the Federal Art Project in the 1930s. Over the course of his career he completed murals in Kansas, Colorado, and New Mexico and held teaching positions at several schools. (Coke, <I>Kenneth M. Adams: A Retrospective Exhibition</I>, 1964)",NULL
26,Artist Biography,"<P>The works of basket maker Mary Adams represent the ingenious marriage of traditional Mohawk crafts with contemporary popular forms. Adams, who is in her sixties, teaches basketry at the local reservation museum twice a week. Half a dozen traditional basket makers work near Adams on the St. Regis Reservation, including her sister, Margaret.</P>  <P>After coming into contact with Europeans in the late eighteenth century, the Algonkian and Iroquoian peoples replaced their indigenous style of basketry 〞stitched wood and bark, twining, and plaited matting〞with the plaited and woodsplint technique common to Germanic and Swedish colonists. The sharp points of woodsplint in the Wedding Cake Basket [SAAM 1989.30.1] are a variation of the porcupine twist or ""curlicue"" manipulation of the splints, recognized as ""thistle weave"" in the distinctive Mohawk style. Adams skillfully contrasts protruding design elements with the smooth texture of surface splints, which are interwoven with sweet grass.</P>  <P>Lynda Roscoe Hartigan <EM>Made with Passion: The Hemphill Folk Art Collection in the National Museum of American Art</EM> (Washington, D.C. and London: National Museum of American Art with the Smithsonian Institution Press, 1990)</P>",Primary
26,Artist Biography,"<P>Mary Adams's life〞her dual Mohawk and Catholic heritage〞is interwoven with her splint ash and sweet grass baskets. During a childhood of poverty in the late 1920s along the banks of the St. Lawrence Riber on the Mohawk Akwesasne Reserve, which straddles the New York/Canadian border, she made baskets to provide for herself and her brother. Later, freed from the economic necessity of having to produce them for a living, she devoted her time to creating innovative, ornate baskets and grew into an artist of international stature. Highly sculpted basketry art forms such as the Wedding Cake Basket, which she made in 1986 for the twenty fifth wedding anniversary of one of her children, and the Pope Basket represent the ulmination of her life's work. (1)<P>I was honored to interview Adams a few months before her death on May 23, 1999, at age eighty two, at her daughter Trudy Lauzon's home in Fort Covington, New York, near the reserve. We talked about her work, especially the creation and presentation of a basket to John Paul II in 1980 to commemorate the beatification of Kateri Tekakwitha, the first Native American to be declared ""blessed"" by the Roman Catholic Church.</P>  <P>Mary Kawennatakie Adams, whose traditional name means a ""voice coming toward us,"" was born January 24, 1917, at Kawehnoke, or Cornwall Island, Ontario. She was a member of the Wolf Clan of the Kahnawake Mohawk Nation (""People of Flint"") of the Iroquois Confederacy (Haudenosaunee). She had no formal education after age sixteen and did not learn English until well into adulthood.<P>From her mother, Adams learned to make traditional Mohawk splint ash and sweet grass baskets when she was six years old. When she was ten, her mother died, and her father left the reserve to seek employment as an ironworker, a common practice among the Mohawk, who were legendary in producing generations of skillful high steel workers for tall buildings and bridges. Left behind on the reserve to support herself and her older brother, Adams began making baskets.</P>  <P>To begin the process, she followed her mother's example, and instructed her brother to fell the ash trees so that she could prepare the wood splints. Within a few days, Adams had made about a dozen baskets and sent her brother to the local non Native American merchant, Mr. MacKinnon, who traded them for cigarettes. When her brother asked her what she would do with cigarettes, she told him that they would take them to Cornwall, acrosss the north channel of the St. Lawrence, to another merchant to trade them for cash. She and her mother had often visited him, before the family moved south to the Quebec part of the St. Regis community on the Akwesasne Reserve.</P><P>Adams told me of her relief when, after presenting the cigarettes to him, he automatically gave her the money, without asking her anything. She did not know English and would have been unable to understand him. She used the cash for food and other necessities. She explained further, ""Sometimes, we would [be] sitting all night working on the baskets to get done, so we would get the money to buy our groceries. That is the way we were, I don't kow how many years.""</P>  <P>Adams married at age seventeen and continued to sell her baskets to Mr. MacKinnon, for cash now instead of cigarettes. Adams recounted that he ""ripped her off"" for the little three&nbsp; or four inch sweet grass and splint ash baskets: ""That son of a gun, he pays [for the] basket twenty five cents a dozen. The whole reservation, we used to make baskets. Son of a gun, he never pay any more than that, twenty five cents, that kind of basket."" With a strong Mohawk accent, Adams continued, ""When my mother used to make baskets, she sits on the rocking chair and you all sit around her and she teaches us how to make baskets. Then after she is gone, then I keep on. I never quit, not even a day. Every day I am doing them, and I have got a big family. I raised my family with my bakets. I have got twelve kids.""</P>  <P>Adams's tenacity in making baskets full time produced an income that provided stability for her large family in the St. Regis community. (2) She ws also active in her church, the St. Regis Roman Catholic Church, which was founded as a Jesuit Mission in 1752. Continuing the community centered tradition of the Mohawk, Adams shared the original patterns and surface designs in her basketry with her family and the women at Akwesasne, and also traveled widely to give demonstrations of Mohawk basket making.</P>  <P>By the time she reached her early fifties, Adams was finally financially independent. No longer burdened with meeting the demands of wholesale basket merchants, Adams had time to execute baskets that were imaginative and distinctive. Later, she began making the ornate baskets for which she received international acclaim. Her baskets are found in institutions throughout North America, including the Iroquois Indian Museum, New York; the Thunder Bay Art Gallery, Ontario; the New York State Governor's Collection of Art, Albany; and the Smithsonian, Washington, D.C. In 1997 the Iroquoiss Indian Museum presented her with its ""Excellence in Iroquois Arts Award"" for the category ""The Best of the Best."" (3)</P>  <P>Like other parishioners at St. Regis Catholic Church, Adams ws a devotee of Kateri Takawitha, a seventeenth century Kahnawake Mohawk woman, known as ""The Lily of the Mohawks."" Takakwitha was the daughter of a Christian Algonquin mother and a non Christian Mohawk chief. Her parents and brother died in a smallpox epidemc; she survived, but the disease weakened her health and severly scarred her face. She performed extraordinary penances and was devoted to helping children and the elederly. It is said that because of her great faith her pockmarks disappeared when she died at the age of twenty four. In 1943, the Roman Catholic Church delcared her ""venable."" Later, the Church declared her blssed, the second of three steps toward canonization.<P>Wishing to attend the beatification ceremony at the Vatican, Adams and her fellow parishioners raised funds to cover their expenses. Adams wanted to make a commemorative basket in Kateri's honor to present to Pope John Paul II. She saw this act of gift giving as honoring both her Christian and Mohawk roots. The gift symbolized the Christian tradition of presenting a Eucharist offering to the pope who would say mass for the occasion. It also represented the Iroquois ceremony of giving thanks to natural and supernatural beings for their generosity, a kind of gift exchange or thanksgiving. (4) ?</P<P>Significantly, Adams drew from her Mohawk heritage and the traditional cosmology of the Northeastern Native American Indian by placing clusters of tiny baskets on four equidistant walls and the lid of the [Pope B]asket. The sweet grass used in the basket's contruction is sacred to many Native Americans, and to the Mohawk people in particular. There is a saying in Akwesasne that the basket making community lives where Teionkwahontasen, or sweet grass, ""grows around us or surrounds us."" (6) Indeed, I saw sweet grass near Adams's home on a channel of the St. Lawrence.</P>  <P>Adams's lifelong ambition, like that of other Mohawk basket makers, was to continue making baskets until she died. During her life, she produced more than twenty five thousand baskets and developed traditional Mohawk basketry into a highly decorative art form. Almost up until the time of her death in 1999, and even with failing eyesight, she was still able to braid sweet grass, which she then gave to her daughter to incorporate into her baskets. Just as Adams learned the technique of making baskets form her mother, Trudy learned the craft from her. Adams's baskets are woven from her life story, reflecting her experiences as both a Catholic, intimate with liturgical symbolism, and a Kahnawake Mohawk, surrounded by sweet grass growing abundantly in the flowing river marshes of Akwesasne.</P>  <P>Notes </P>  <P>1. For more on Adams, see Thomas M. Elliott, Mary Adams: An Exibition of Her Work, October 5 through December 14, 1997 (Howes Cave, N.Y.: Iroquois Indian Museum, 1997), p.3; and Neil B Keating, Mary Adams: An Exhibition of Her Work, October 5 through December 14, 1997 (Howes Cave, N.Y.: Iroquois Indian Museum, 1997), p. 8.<BR>2. Elliott, Mary Adams, p. 3.<BR>3. Elisabeth Tooker, Lewis H. Morgan on Iroquois Material Culture (Tucson: U. of Arizona Press, 1994), p. 422.<BR>4. Tooker noted that dreams were important in the Iroquois tradition; see her The Iroqois Ceremonial of Midwinter (Syracuse: Syracuse U. Press, 19701), p. 33.<BR>6. Carol White, Teionkwahontasen: Sweetgrass Is Around Us, Basketmakers of Akwesasne (Hogansburg, N.Y.: Akwesasne Cultural Centre, 1996).</P>  <P>Olivia Thornburn ""Appreciation: Mary Kawennatakie Adams, Mohawk Basket Maker and Artist."" American Art journal 15, no. 2 (summer 2001), pp. 90-95.</P>",NULL
