City,County,State,Country
Opelousas,NULL,Louisiana,United States
Oracle,NULL,Arizona,United States
Oradell,NULL,New Jersey,United States
Oran,NULL,NULL,Algeria
Orange,NULL,California,United States
Orange,NULL,Connecticut,United States
Orange,NULL,New Jersey,United States
Orangeburg,NULL,New York,United States
Orangeburg,NULL,South Carolina,United States
Orani,NULL,NULL,Italy
Orby,NULL,NULL,Sweden
Orchard,NULL,Colorado,United States
Oregon,NULL,Illinois,United States
Orgeval,NULL,NULL,France
Orina,NULL,Louisiana,United States
Orlando,NULL,Florida,NULL
Orleans,NULL,Massachusetts,United States
Orlienas,NULL,NULL,France
Orocovis,NULL,NULL,Puerto Rico
Oroville,NULL,California,United States
Osage City,NULL,Kansas,United States
Osaka,NULL,NULL,Japan
Osborne,NULL,NULL,England
Osceola,NULL,Nebraska,United States
Oshkosh,NULL,Wisconsin,United States
Oskaloosa,NULL,Iowa,United States
Oslo,NULL,NULL,Norway
Osnabruck,NULL,NULL,Germany
Ossett,NULL,NULL,England
Ossining,NULL,New York,United States
Oswego,NULL,New York,United States
Otis,NULL,Oregon,United States
Ottawa,NULL,Kansas,United States
Ottawa,NULL,Ontario,Canada
Otterberg,NULL,NULL,Germany
Ottumwa,NULL,Iowa,United States
Ouzouer,NULL,NULL,France
Owatonna,NULL,Minnesota,United States
Owensboro,NULL,Kentucky,United States
Owings Mills,NULL,Maryland,United States
Owosso,NULL,Michigan,United States
Oxford,NULL,NULL,England
Oxford,NULL,Connecticut,United States
Oxford,NULL,Illinois,United States
Oxford,NULL,Massachusetts,United States
Oxford,NULL,Mississippi,United States
Oxford,NULL,New York,United States
Oxford,NULL,Ohio,United States
Oyster Bay,NULL,New York,United States
Ozark,NULL,Arkansas,United States
Pacific Grove,NULL,California,United States
Pacific Palisades,NULL,California,United States
Pacifica,NULL,California,United States
Padua Hills,NULL,California,United States
Paducah,McCracken County,Kentucky,United States
Padula,NULL,NULL,Italy
Pahoa,NULL,Hawaii,United States
Painesville,NULL,Ohio,United States
Paisley,NULL,NULL,Scotland
Palermo,NULL,NULL,Italy
Palermo,NULL,NULL,Sicily
Palermo,NULL,Sicily,Italy
Palisade,NULL,Colorado,United States
Palisade,NULL,New Jersey,United States
Palm Beach,NULL,Florida,United States
Palm Desert,NULL,California,United States
Palm Springs,NULL,California,United States
Palma de Mallorca,NULL,NULL,Spain
Palmer,NULL,Alaska,United States
Palmer,NULL,Massachusetts,United States
Palmyra,NULL,Tennessee,United States
Palo Alto,NULL,California,United States
Palomar,NULL,California,United States
Palos Verdes,NULL,California,United States
Palos Verdes Estates,NULL,California,United States
Palouse,NULL,Washington,United States
Panama Canal Zone,NULL,NULL,Panama
Panama City,NULL,NULL,Panama
Pandora,NULL,Texas,United States
Pantaneto,NULL,NULL,Italy
Paola,NULL,Kansas,United States
Paoli,NULL,Pennsylvania,United States
Paris,NULL,NULL,France
Paris,NULL,Kentucky,United States
Paris,NULL,New York,United States
Paris,NULL,Texas,United States
Park City,NULL,Utah,United States
Park Ridge,NULL,Illinois,United States
Park Ridge,NULL,New Jersey,United States
Parker,NULL,Pennsylvania,United States
Parkersburg,NULL,West Virginia,United States
Parkville,NULL,Maryland,United States
Parma,NULL,NULL,Italy
Parma,NULL,Emilia Romagna,Italy
Partinico,NULL,Sicily,Italy
Pasadena,NULL,California,United States
Pasco,NULL,Washington,United States
Pasedena,NULL,California,United States
Passaic,NULL,New Jersey,United States
Passau,NULL,Bavaria,Germany
Paterson,NULL,New Jersey,United States
Patterson,NULL,New Jersey,United States
Patzcuaro,NULL,NULL,Mexico
Pawnee,NULL,Oklahoma,United States
Pawtucket,NULL,Rhode Island,United States
Paxton,NULL,Massachusetts,United States
Payette,NULL,Idaho,United States
Peace Dale,NULL,Rhode Island,United States
Peapack,NULL,New Jersey,United States
Pebble Beach,NULL,California,United States
Peconic,NULL,New York,United States
Pecs,NULL,NULL,Hungary
Peekskill,NULL,New York,United States
Peking,NULL,NULL,China
Pelham Manor,NULL,New York,United States
Pelican Rapids,NULL,Minnesota,United States
Pemberton,NULL,New Jersey,United States
Pen Argyl,NULL,Pennsylvania,United States
Pendleton,NULL,Oregon,United States
Pendleton,NULL,South Carolina,United States
Penegoes,NULL,NULL,Wales
Penfield,NULL,North Carolina,United States
Peninsula,NULL,Ohio,United States
Penland,NULL,North Carolina,United States
Penn Valley,NULL,California,United States
Penn Yan,NULL,New York,United States
Penns Grove,NULL,New Jersey,United States
Pennsauken,NULL,New Jersey,United States
Pennsbury,NULL,Pennsylvania,United States
Pennsylvania,NULL,Pittsburgh,United States
Pennville,NULL,Georgia,United States
Peoria,NULL,Illinois,United States
Pepeekeo,NULL,Hawaii,United States
Perkasie,NULL,Pennsylvania,United States
Perpignan,NULL,NULL,France
Perrysburg,NULL,Ohio,United States
Perth Amboy,NULL,New Jersey,United States
Perugia,NULL,NULL,Italy
Perugia,NULL,Umbria,Italy
Pestujhely,NULL,NULL,Hungary
Petaluma,NULL,California,United States
Peterborough,NULL,New Hampshire,United States
Petersburg,NULL,Florida,United States
Petersburg,NULL,Illinois,United States
Petersburg,NULL,Virginia,United States
Petion-Ville,NULL,NULL,Haiti
Petrograd,NULL,NULL,Russia
Pettau,NULL,Styria,Austria-Hungary
Pforzheim,NULL,NULL,Germany
Philadellphia,NULL,Pennsylvania,United States
Philadelphia,NULL,Pennsylvania,NULL
Philadelphia,NULL,Pennsylvania,United States
Philipsburg,NULL,Pennsylvania,United States
Philipsburg,NULL,Quebec,Canada
Phillips,NULL,Maine,United States
Philmont,NULL,New York,United States
Phippsburg,NULL,Maine,United States
Phoebus,NULL,Virginia,United States
Phoenix,NULL,Arizona,United States
Piano de Cilento,NULL,NULL,Italy
Pickens,NULL,South Carolina,United States
Picton,NULL,Ontario,Canada
Piedmont,NULL,California,United States
Piedras Negras,NULL,NULL,Mexico
Piermont,NULL,New York,United States
Pietrarossa,NULL,NULL,Italy
Pietrasanta,NULL,NULL,Italy
Pieve di Cadore,NULL,NULL,Italy
Pigeon Forge,NULL,Tennessee,United States
Pike Road,NULL,Alabama,United States
Pilsen,NULL,NULL,Czechoslovakia
Pima,NULL,Arizona,United States
Pine Bluff,NULL,Arkansas,United States
Pine Hill,NULL,New York,United States
Pine Springs,Navajo Nation,Arizona,United States
Pinehurst,NULL,North Carolina,United States
Pinoso,NULL,NULL,Spain
Pinpoint,NULL,Georgia,United States
Pinsk,NULL,NULL,Poland
Pinsk,NULL,NULL,Russia
Pipe Creek,NULL,Texas,United States
Pirmasens,NULL,NULL,Germany
Pisa,NULL,NULL,Italy
Pistoia,NULL,NULL,Italy
Pitigliano,NULL,NULL,Italy
Pittsboro,NULL,North Carolina,United States
Pittsburg,NULL,Kansas,United States
Pittsburgh,NULL,Pennsylvania,United States
Pittsfield,NULL,Illinois,United States
Pittsfield,NULL,Maine,United States
Pittsfield,NULL,Massachusetts,United States
Pittsford,NULL,New York,United States
Pizzo di Calabria,NULL,NULL,Italy
Placerville,NULL,California,United States
Placitas,NULL,New Mexico,United States
Plainfield,NULL,Connecticut,United States
Plainfield,NULL,Indiana,United States
Plainfield,NULL,Massachusetts,United States
Plainfield,NULL,New Hampshire,United States
Plainfield,NULL,New Jersey,United States
Plainfield,NULL,Vermont,United States
Plainview,NULL,New York,United States
Plano,NULL,Illinois,United States
Plano,NULL,Texas,United States
Plato Center,NULL,Illinois,United States
Plattsburgh,NULL,New York,United States
Plattsmouth,NULL,Nebraska,United States
Pleasant Hill,NULL,California,United States
Pleasant Ridge,NULL,Illinois,United States
Pleasanton,NULL,California,United States
Pleasantville,NULL,New York,United States
Ploaree,NULL,Brittany,France
Plumtrees,NULL,Massachusetts,United States
Plymouth,NULL,NULL,England
Plymouth,NULL,California,United States
Plymouth,NULL,Massachusetts,United States
Plymouth,NULL,Wisconsin,United States
Plymouth Meeting,NULL,Pennsylvania,United States
Plympton,NULL,NULL,England
Point Barrow,NULL,Alaska,United States
Point Pleasant,NULL,New Jersey,United States
Point Reyes,NULL,California,United States
Point Richmond,NULL,California,NULL
Point Richmond,NULL,California,United States
Polacca,NULL,Arizona,United States
Polacca,Hopi Reservation,Arizona,United States
Pomona,NULL,California,NULL
Pomona,NULL,California,United States
Pomona,NULL,Tennessee,United States
Pompano Beach,NULL,Florida,United States
Pompey,NULL,New York,United States
Ponce,NULL,NULL,France
Ponce,NULL,NULL,Puerto Rico
Ponta Pora,NULL,NULL,Brazil
Ponte,NULL,NULL,Italy
Pontremoli,NULL,NULL,Italy
Pontypool,NULL,NULL,England
Port Arthur,NULL,Texas,United States
Port Byron,NULL,New York,United States
Port Chester,NULL,New York,United States
Port Clyde,NULL,Maine,United States
Port Costa,NULL,California,United States
Port Hope,NULL,Ontario,Canada
Port Hueneme,NULL,California,United States
Port Huron,NULL,Michigan,NULL
Port Huron,NULL,Michigan,United States
Port Jefferson,NULL,New York,United States
Port Louis,NULL,NULL,Mauritius
Port Republic,NULL,Virginia,United States
Port Richey,NULL,Florida,United States
Port Townsend,NULL,Washington,United States
Port Washington,NULL,New York,United States
Port Washington,NULL,Wisconsin,United States
Port-au-Prince,NULL,NULL,Haiti
Portage,NULL,Ohio,United States
Portland,NULL,Colorado,United States
Portland,NULL,Maine,United States
Portland,NULL,Oregon,NULL
Portland,NULL,Oregon,United States
Portland,NULL,Texas,United States
Porto Castillo,NULL,NULL,Honduras
Portsmith,NULL,Ohio,United States
Portsmouth,NULL,New Hampshire,United States
Portsmouth,NULL,Ohio,United States
Portsmouth,NULL,Virginia,United States
Possagno,NULL,NULL,Italy
Potosi,NULL,Missouri,United States
Potsdam,NULL,New York,United States
Potter Valley,NULL,California,United States
Pottstown,NULL,Pennsylvania,United States
Pottsville,NULL,Pennsylvania,United States
Poughkeepsie,NULL,New York,United States
Poughquag,NULL,New York,United States
Poulsbo,NULL,Washington,United States
Poultney,NULL,Vermont,United States
Poznan,NULL,NULL,Poland
Pracchia,NULL,NULL,Italy
Prague,NULL,NULL,Czech Republic
