City,County,State,Country
Clairton,NULL,Pennsylvania,United States
Claremont,NULL,California,United States
Clarendon,NULL,Texas,United States
Clarendon Hills,NULL,Illinois,United States
Clark's Green,NULL,Pennsylvania,United States
Clarksburg,NULL,West Virginia,United States
Clarksdale,NULL,Arizona,United States
Clarkstown,NULL,New York,United States
Clarksville,NULL,Tennessee,United States
Clarksville,NULL,Texas,United States
Claymont,NULL,Delaware,United States
Claysville,NULL,Pennsylvania,United States
Clearfield,NULL,Iowa,United States
Clearfield,NULL,Pennsylvania,United States
Clearwater,NULL,Florida,United States
Clermont,NULL,Florida,United States
Clermont,NULL,New York,United States
Clermont-Ferrand,NULL,NULL,France
Clermont-Ferrand,Puy-de-D»me,NULL,France
Cleveland,NULL,Georgia,United States
Cleveland,NULL,Ohio,United States
Cleveland,NULL,Tennessee,United States
Cleveland,White County,Georgia,United States
Cleveland Heights,NULL,Ohio,United States
Cleves,NULL,Ohio,United States
Clewiston,NULL,Florida,United States
Clichy,NULL,NULL,France
Cliffside,NULL,New Jersey,United States
Cliffside Park,NULL,New Jersey,United States
Clifton,NULL,Texas,United States
Clifton Springs,NULL,New York,United States
Clinton,NULL,Iowa,United States
Clinton,NULL,Louisiana,United States
Clinton,NULL,Maryland,United States
Clinton,NULL,Missouri,United States
Clinton,NULL,New York,United States
Closter,NULL,New Jersey,United States
Clovis,NULL,New Mexico,United States
Cluj,NULL,NULL,Romania
Coal City,NULL,Illinois,United States
Coaldale,NULL,Pennsylvania,United States
Cobham,NULL,Virginia,United States
Cocconato,NULL,NULL,Italy
Cochiti Pueblo,NULL,New Mexico,United States
Cockeysville,NULL,Maryland,United States
Cody,NULL,Wyoming,United States
Cohasset,NULL,Massachusetts,United States
Colchester,NULL,Connecticut,United States
Cold Spring,NULL,New York,United States
Coldwater,NULL,Michigan,United States
Colerain,NULL,Massachusetts,United States
Colfax,NULL,Washington,United States
College Park,NULL,Maryland,United States
College Point,NULL,New York,United States
Collegeville,NULL,Pennsylvania,United States
Colmar,NULL,NULL,France
Cologne,NULL,NULL,Germany
Colon,NULL,NULL,Panama
Colorado Springs,NULL,Colorado,United States
Colton,San Bernadino County,California,United States
Columbia,NULL,California,United States
Columbia,NULL,Missouri,United States
Columbia,NULL,South Carolina,United States
Columbus,NULL,Georgia,United States
Columbus,NULL,Ohio,NULL
Columbus,NULL,Ohio,United States
Columbus,NULL,Wisconsin,United States
Come,NULL,NULL,Italy
Como,NULL,NULL,Italy
Compton,NULL,California,United States
Concarneau,NULL,NULL,France
Conceselo,NULL,NULL,Panama
Concord,NULL,California,United States
Concord,NULL,Massachusetts,United States
Concord,NULL,New Hampshire,United States
Concord,NULL,Vermont,United States
Confluence,NULL,Pennsylvania,United States
Convoy,NULL,Ohio,United States
Conway,NULL,Arkansas,United States
Conway,NULL,Massachusetts,United States
Cookeville,NULL,Tennessee,United States
Cooksville,NULL,Wisconsin,United States
Cooperstown,NULL,New York,United States
Coos Bay,NULL,Oregon,United States
Copenhagen,NULL,NULL,Denmark
Copper Hill,NULL,Virginia,United States
Coral Gables,NULL,Florida,United States
Coralville,NULL,Iowa,United States
Coram,NULL,New York,United States
Coraopolis,NULL,Pennsylvania,United States
Cordoba,NULL,NULL,Argentina
Cordova,NULL,NULL,Spain
Cordova,NULL,New Mexico,United States
Corinth,NULL,Mississippi,United States
Cork,NULL,NULL,Ireland
Corner Ketch,NULL,Pennsylvania,United States
Corning,NULL,California,United States
Corning,NULL,New York,United States
Cornish,NULL,Maine,United States
Cornish,NULL,New Hampshire,United States
